,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,15.0,27.6,0,2.6,10.5,ESE,35,03:18,18.5,51,2,E,17,1026.9,26.9,31,1,SE,9,1022.6
,2024-04-2,14.3,29.5,0,10.2,10.7,ENE,28,07:36,18.5,54,0,E,11,1026.2,28.8,29,0,SSE,6,1022.6
,2024-04-3,14.2,29.8,0,6.6,10.6,NE,31,10:15,19.8,48,1,E,9,1026.7,29.4,25,1,ESE,11,1023.1
,2024-04-4,16.2,30.6,0,7.2,7.7,E,48,22:00,21.9,35,7,NE,11,1023.9,30.5,22,6,ENE,9,1019.2
,2024-04-5,16.1,33.6,0,7.4,10.7,NE,31,08:39,24.2,34,6,NE,13,1017.8,32.7,13,1,SW,11,1014.0
,2024-04-6,15.9,34.5,0,11.8,7.4,NE,24,14:09,23.1,33,7,ENE,6,1015.8,33.2,21,5,WSW,9,1012.7
,2024-04-7,16.8,36.5,0,8.2,10.5,E,44,22:25,24.0,35,6,ESE,7,1015.3,35.6,12,3,ESE,13,1012.4
,2024-04-8,17.1,29.2,0,9.6,10.5,ENE,39,06:59,21.3,54,0,E,15,1022.8,28.6,32,0,E,15,1020.4
,2024-04-9,14.6,27.4,0,8.4,10.1,ENE,50,16:55,18.6,56,2,E,13,1024.9,26.9,31,5,ESE,11,1020.6
,2024-04-10,15.4,28.1,0,7.2,10.6,NE,31,09:48,20.2,48,0,ENE,11,1023.4,27.6,27,0,E,11,1020.1
,2024-04-11,16.0,28.5,0,8.2,10.5,E,31,00:23,20.2,42,0,ENE,13,1023.1,27.6,27,1,E,9,1019.5
,2024-04-12,15.7,26.4,0,7.2,5.7,ENE,30,00:52,20.9,52,3,ENE,11,1021.0,23.0,67,7,WSW,2,1017.5
,2024-04-13,15.0,26.7,1.2,4.2,9.9,SW,31,16:36,19.8,59,3,ENE,7,1019.7,25.1,43,4,SSW,15,1016.8
,2024-04-14,10.7,26.6,0,6.0,9.0,SSW,31,15:56,19.7,61,0,SE,6,1022.6,25.0,41,6,SSW,17,1020.9
,2024-04-15,13.3,28.8,0,4.0,10.5,SSW,28,14:59,20.7,60,0,E,7,1025.2,27.3,35,2,S,20,1021.8
,2024-04-16,15.4,30.8,0,5.0,10.5,NE,31,11:47,22.4,54,2,E,9,1025.0,30.0,25,0,ENE,11,1021.0
,2024-04-17,18.3,32.6,0,7.6,10.5,E,31,03:58,23.1,46,0,NE,15,1025.5,31.9,22,0,ESE,11,1021.3
,2024-04-18,17.7,33.2,0,9.0,10.6,ENE,30,05:52,24.5,39,0,ENE,13,1025.5,32.6,19,1,ENE,9,1022.1
,2024-04-19,13.3,30.0,0,8.6,10.5,NE,24,08:39,22.3,35,0,NNE,17,1025.3,29.7,21,0,E,7,1021.5
,2024-04-20,11.7,31.0,0,6.4,10.2,NE,31,09:02,22.9,32,1,NE,17,1024.6,30.6,15,1,E,6,1020.9
,2024-04-21,9.9,31.1,0,5.4,10.2,WSW,30,14:19,21.9,32,0,NNE,7,1021.8,27.9,26,0,WSW,13,1018.7
,2024-04-22,14.7,,0,6.0,,,,,19.3,73,2,SSE,15,1023.8,21.6,49,6,ESE,15,1023.2
